date,model_key,Portfolio,window_start,window_end,observations,objective_value,solver_message
2013-01-31,equal_risk,Equal Risk Contribution,2008-01-31,2012-12-31,60,0.02399299964785305,Optimization terminated successfully
2013-01-31,mean_variance,Mean-Variance (Max Sharpe),2008-01-31,2012-12-31,60,-0.3390414944140601,Optimization terminated successfully
2013-01-31,minimum_cvar,Minimum CVaR,2008-01-31,2012-12-31,60,0.017698616935111863,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2013-04-30,equal_risk,Equal Risk Contribution,2008-04-30,2013-03-31,60,0.02403147497819337,Optimization terminated successfully
2013-04-30,mean_variance,Mean-Variance (Max Sharpe),2008-04-30,2013-03-31,60,-0.31945825874233247,Optimization terminated successfully
2013-04-30,minimum_cvar,Minimum CVaR,2008-04-30,2013-03-31,60,0.017698616935111863,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2013-07-31,equal_risk,Equal Risk Contribution,2008-07-31,2013-06-30,60,0.02392087193953487,Optimization terminated successfully
2013-07-31,mean_variance,Mean-Variance (Max Sharpe),2008-07-31,2013-06-30,60,-0.3035592173441404,Optimization terminated successfully
2013-07-31,minimum_cvar,Minimum CVaR,2008-07-31,2013-06-30,60,0.019162969233624032,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2013-10-31,equal_risk,Equal Risk Contribution,2008-10-31,2013-09-30,60,0.023354347322165264,Optimization terminated successfully
2013-10-31,mean_variance,Mean-Variance (Max Sharpe),2008-10-31,2013-09-30,60,-0.3568214151045349,Optimization terminated successfully
2013-10-31,minimum_cvar,Minimum CVaR,2008-10-31,2013-09-30,60,0.018200065977399954,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2014-01-31,equal_risk,Equal Risk Contribution,2009-01-31,2013-12-31,60,0.023922688236400105,Optimization terminated successfully
2014-01-31,mean_variance,Mean-Variance (Max Sharpe),2009-01-31,2013-12-31,60,-0.4104760781288855,Optimization terminated successfully
2014-01-31,minimum_cvar,Minimum CVaR,2009-01-31,2013-12-31,60,0.018200065977399957,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2014-04-30,equal_risk,Equal Risk Contribution,2009-04-30,2014-03-31,60,0.023891916967810983,Optimization terminated successfully
2014-04-30,mean_variance,Mean-Variance (Max Sharpe),2009-04-30,2014-03-31,60,-0.6268814777315164,Optimization terminated successfully
2014-04-30,minimum_cvar,Minimum CVaR,2009-04-30,2014-03-31,60,0.011652752470333143,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2014-07-31,equal_risk,Equal Risk Contribution,2009-07-31,2014-06-30,60,0.023878907655404506,Optimization terminated successfully
2014-07-31,mean_variance,Mean-Variance (Max Sharpe),2009-07-31,2014-06-30,60,-0.6393096419688545,Optimization terminated successfully
2014-07-31,minimum_cvar,Minimum CVaR,2009-07-31,2014-06-30,60,0.01165275247033314,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2014-10-31,equal_risk,Equal Risk Contribution,2009-10-31,2014-09-30,60,0.023874657692674973,Optimization terminated successfully
2014-10-31,mean_variance,Mean-Variance (Max Sharpe),2009-10-31,2014-09-30,60,-0.5583084500529655,Optimization terminated successfully
2014-10-31,minimum_cvar,Minimum CVaR,2009-10-31,2014-09-30,60,0.011652752470333138,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2015-01-31,equal_risk,Equal Risk Contribution,2010-01-31,2014-12-31,60,0.02385259571442762,Optimization terminated successfully
2015-01-31,mean_variance,Mean-Variance (Max Sharpe),2010-01-31,2014-12-31,60,-0.6545194389465989,Optimization terminated successfully
2015-01-31,minimum_cvar,Minimum CVaR,2010-01-31,2014-12-31,60,0.01055491698092914,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2015-04-30,equal_risk,Equal Risk Contribution,2010-04-30,2015-03-31,60,0.02385865962596895,Optimization terminated successfully
2015-04-30,mean_variance,Mean-Variance (Max Sharpe),2010-04-30,2015-03-31,60,-0.6378872184495737,Optimization terminated successfully
2015-04-30,minimum_cvar,Minimum CVaR,2010-04-30,2015-03-31,60,0.01055491698092914,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2015-07-31,equal_risk,Equal Risk Contribution,2010-07-31,2015-06-30,60,0.023838889263896303,Optimization terminated successfully
2015-07-31,mean_variance,Mean-Variance (Max Sharpe),2010-07-31,2015-06-30,60,-0.5932386224340542,Optimization terminated successfully
2015-07-31,minimum_cvar,Minimum CVaR,2010-07-31,2015-06-30,60,0.011701066696274907,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2015-10-31,equal_risk,Equal Risk Contribution,2010-10-31,2015-09-30,60,0.02383059465395172,Optimization terminated successfully
2015-10-31,mean_variance,Mean-Variance (Max Sharpe),2010-10-31,2015-09-30,60,-0.5039915922087722,Optimization terminated successfully
2015-10-31,minimum_cvar,Minimum CVaR,2010-10-31,2015-09-30,60,0.011701066696274907,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2016-01-31,equal_risk,Equal Risk Contribution,2011-01-31,2015-12-31,60,0.023837333870216165,Optimization terminated successfully
2016-01-31,mean_variance,Mean-Variance (Max Sharpe),2011-01-31,2015-12-31,60,-0.49757641570817795,Optimization terminated successfully
2016-01-31,minimum_cvar,Minimum CVaR,2011-01-31,2015-12-31,60,0.011701066696274914,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2016-04-30,equal_risk,Equal Risk Contribution,2011-04-30,2016-03-31,60,0.023834574136045835,Optimization terminated successfully
2016-04-30,mean_variance,Mean-Variance (Max Sharpe),2011-04-30,2016-03-31,60,-0.5186801808853903,Optimization terminated successfully
2016-04-30,minimum_cvar,Minimum CVaR,2011-04-30,2016-03-31,60,0.011701066696274914,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2016-07-31,equal_risk,Equal Risk Contribution,2011-07-31,2016-06-30,60,0.02384043017624113,Optimization terminated successfully
2016-07-31,mean_variance,Mean-Variance (Max Sharpe),2011-07-31,2016-06-30,60,-0.527772963814119,Optimization terminated successfully
2016-07-31,minimum_cvar,Minimum CVaR,2011-07-31,2016-06-30,60,0.011701066696274914,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2016-10-31,equal_risk,Equal Risk Contribution,2011-10-31,2016-09-30,60,0.023844938847058877,Optimization terminated successfully
2016-10-31,mean_variance,Mean-Variance (Max Sharpe),2011-10-31,2016-09-30,60,-0.5294446318302374,Optimization terminated successfully
2016-10-31,minimum_cvar,Minimum CVaR,2011-10-31,2016-09-30,60,0.011701066696274909,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2017-01-31,equal_risk,Equal Risk Contribution,2012-01-31,2016-12-31,60,0.023815753877507916,Optimization terminated successfully
2017-01-31,mean_variance,Mean-Variance (Max Sharpe),2012-01-31,2016-12-31,60,-0.45712201403953834,Optimization terminated successfully
2017-01-31,minimum_cvar,Minimum CVaR,2012-01-31,2016-12-31,60,0.011851108576924898,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2017-04-30,equal_risk,Equal Risk Contribution,2012-04-30,2017-03-31,60,0.023614781251432636,Optimization terminated successfully
2017-04-30,mean_variance,Mean-Variance (Max Sharpe),2012-04-30,2017-03-31,60,-0.43971934459289314,Optimization terminated successfully
2017-04-30,minimum_cvar,Minimum CVaR,2012-04-30,2017-03-31,60,0.011851108576924906,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2017-07-31,equal_risk,Equal Risk Contribution,2012-07-31,2017-06-30,60,0.02342962908138642,Optimization terminated successfully
2017-07-31,mean_variance,Mean-Variance (Max Sharpe),2012-07-31,2017-06-30,60,-0.4635491446057232,Optimization terminated successfully
